"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses","question_order"
"","html-keyboard-response","17","23377","0.0-17.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","18","24338","0.0-18.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","959.8999998569489","img/land2.png","74","960.7999999523163","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","",""
"","html-keyboard-response","19","24640","0.0-19.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","20","26089","0.0-20.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","1447.7999999523163","img/land1.png","75","1448.7000000476837","2","0","1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","",""
"","html-keyboard-response","21","26392","0.0-21.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","",""
"","image-keyboard-response","22","27715","0.0-22.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","1321.5","img/land3.png","76","1322.5999999046326","3","1","3","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","",""
"","html-keyboard-response","23","28018","0.0-23.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","24","29098","0.0-24.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","1078.9000000953674","img/land1.png","74","1080","1","1","1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","",""
"","html-keyboard-response","25","29402","0.0-25.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","26","30530","0.0-26.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","1127.1000001430511","img/land2.png","74","1128.7999999523163","1","0","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","",""
