"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","chosenAction","reward","warning","responses","question_order"
"true","fullscreen","0","2530","0.0-0.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","","","","","","","",""
"","instructions","1","13708","0.0-1.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","[{""page_index"":0,""viewing_time"":1673},{""page_index"":1,""viewing_time"":1291.9000000059605},{""page_index"":2,""viewing_time"":1080.7000000178814},{""page_index"":3,""viewing_time"":1141.3999999761581},{""page_index"":4,""viewing_time"":2632.5},{""page_index"":5,""viewing_time"":1207.2000000178814},{""page_index"":6,""viewing_time"":1049.5999999940395},{""page_index"":7,""viewing_time"":1081.5}]","11162.700000017881","","","","","","","",""
"","image-keyboard-response","2","14719","0.0-2.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","img/land7.png","","1009.6000000238419","-1","0","true","",""
"","html-keyboard-response","3","15029","0.0-3.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land7.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","html-keyboard-response","4","20938","0.0-4.0-0.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","","","","","","","",""
"","image-keyboard-response","5","21190","0.0-5.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","242.40000000596046","img/land3.png","74","250.2000000178814","74","0","false","",""
"","html-keyboard-response","6","21501","0.0-6.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","7","21856","0.0-8.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","344.30000001192093","img/land3.png","76","350.5","76","1","false","",""
"","html-keyboard-response","8","22165","0.0-9.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","9","22266","0.0-11.0","3C44YUNSI2B81SMPRC73J0A218ZDPB","A3AU8PZ6HHBCVT","39WSF6KUV27TMEQUH506BZR9N6KEO1","","94.59999999403954","img/land3.png","75","98.89999997615814","75","1","false","",""
