"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","chosenAction","reward","warning","responses","question_order"
"true","fullscreen","0","2536","0.0-0.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","","","","","","","",""
"","instructions","1","9105","0.0-1.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","[{""page_index"":0,""viewing_time"":2928.300000190735},{""page_index"":1,""viewing_time"":208.90000009536743},{""page_index"":2,""viewing_time"":183.39999961853027},{""page_index"":3,""viewing_time"":208.60000038146973},{""page_index"":4,""viewing_time"":1040.6999998092651},{""page_index"":5,""viewing_time"":663.5999999046326},{""page_index"":6,""viewing_time"":695.9000000953674},{""page_index"":7,""viewing_time"":632.0999999046326}]","6563.300000190735","","","","","","","",""
"","image-keyboard-response","2","10127","0.0-2.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","img/land6.png","","1021.3000001907349","-1","0","true","",""
"","html-keyboard-response","3","10435","0.0-3.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","html-keyboard-response","4","12462","0.0-4.0-0.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","","","","","","","",""
"","image-keyboard-response","5","13203","0.0-5.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","736.4000000953674","img/land1.png","76","740","76","1","false","",""
"","html-keyboard-response","6","13510","0.0-6.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","7","13563","0.0-8.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","49.40000009536743","img/land6.png","76","51.90000009536743","76","0","false","",""
"","html-keyboard-response","8","13876","0.0-9.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","9","13894","0.0-11.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","13.199999809265137","img/land1.png","76","16.5","76","1","false","",""
"","html-keyboard-response","10","14207","0.0-12.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","11","14275","0.0-14.0","3M68NM076ITUSWNPUH3EIP0PL4M6RQ","A1HQZBNZEQ4TOK","39WSF6KUV27TMEQUH506BZR9N6KEO1","","62.30000019073486","img/land6.png","74","65.19999980926514","74","0","false","",""
