"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","chosenAction","reward","warning","responses","question_order"
"true","fullscreen","0","3640","0.0-0.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","","","","","","","",""
"","instructions","1","45595","0.0-1.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","[{""page_index"":0,""viewing_time"":13168.699999988079},{""page_index"":1,""viewing_time"":1391.9000000357628},{""page_index"":2,""viewing_time"":1768.0999999642372},{""page_index"":3,""viewing_time"":5839.600000023842},{""page_index"":4,""viewing_time"":5896.399999976158},{""page_index"":5,""viewing_time"":4495.900000035763},{""page_index"":6,""viewing_time"":7015.899999976158},{""page_index"":7,""viewing_time"":2375.800000011921}]","41953.10000002384","","","","","","","",""
"","image-keyboard-response","2","46597","0.0-2.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","img/land7.png","","1001.9000000357628","-1","0","true","",""
"","html-keyboard-response","3","46901","0.0-3.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land7.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","html-keyboard-response","4","55058","0.0-4.0-0.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","","","","","","","",""
"","image-keyboard-response","5","56061","0.0-5.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","img/land6.png","","1002.1000000238419","-1","0","true","",""
"","html-keyboard-response","6","56362","0.0-6.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","html-keyboard-response","7","62994","0.0-7.0-0.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","","","","","","","","",""
"","image-keyboard-response","8","63422","0.0-8.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","426.10000002384186","img/land6.png","74","427.69999998807907","74","0","false","",""
"","html-keyboard-response","9","63724","0.0-9.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","10","64194","0.0-11.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","468.39999997615814","img/land7.png","74","469","74","1","false","",""
"","html-keyboard-response","11","64496","0.0-12.0","39OWYR0EPLDZ8QSM95YCKR6ZHQIFYI","A3VVCPYZROGGJZ","39WSF6KUV27TMEQUH506BZR9N6KEO1","","null","<img src=""img/land7.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
