"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"null","","html-keyboard-response","421","551968","0.0-421.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"514.6999999992549","","image-keyboard-response","422","552484","0.0-422.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower2.png","75","516.0999999996275","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"null","","html-keyboard-response","423","552792","0.0-423.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"469","","image-keyboard-response","424","553263","0.0-424.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower6.png","76","470.5","3","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"null","","html-keyboard-response","425","553568","0.0-425.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"647.3000000007451","","image-keyboard-response","426","554217","0.0-426.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower6.png","76","648.7000000011176","3","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"null","","html-keyboard-response","427","554528","0.0-427.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"522.3000000007451","","image-keyboard-response","428","555052","0.0-428.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower2.png","75","523.8999999985099","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"null","","html-keyboard-response","429","555360","0.0-429.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"471.59999999962747","","image-keyboard-response","430","555833","0.0-430.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower6.png","76","473.3999999985099","3","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"null","","html-keyboard-response","431","556136","0.0-431.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
