"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"null","","html-keyboard-response","19","110313","0.0-19.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"468","","image-keyboard-response","20","110783","0.0-20.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","469","2","1","2","","","","",""
"null","","html-keyboard-response","21","111085","0.0-21.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"435","","image-keyboard-response","22","111520","0.0-22.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","436","2","1","2","","","","",""
"null","","html-keyboard-response","23","111824","0.0-23.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"420","","image-keyboard-response","24","112246","0.0-24.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","421","2","1","2","","","","",""
"null","","html-keyboard-response","25","112552","0.0-25.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"529","","image-keyboard-response","26","113081","0.0-26.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","529","1","1","1","","","","",""
"null","","html-keyboard-response","27","113387","0.0-27.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"420","","image-keyboard-response","28","113808","0.0-28.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","421","1","1","1","","","","",""
"null","","html-keyboard-response","29","114110","0.0-29.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"466","","image-keyboard-response","30","114578","0.0-30.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","468","2","0","2","","","","",""
"null","","html-keyboard-response","31","114882","0.0-31.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
