"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"21462.19999998808","consent.html","external-html","0","21508","0.0-0.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","","","","","","","","","","",""
"","","fullscreen","1","24899","0.0-1.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","true","","","","","","","","","","","",""
"108927.5","","instructions","2","133829","0.0-2.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","[{""page_index"":0,""viewing_time"":10783},{""page_index"":1,""viewing_time"":16495.59999999404},{""page_index"":2,""viewing_time"":15408.300000011921},{""page_index"":3,""viewing_time"":14040.09999999404},{""page_index"":4,""viewing_time"":8711.800000011921},{""page_index"":5,""viewing_time"":36528},{""page_index"":6,""viewing_time"":6960.0999999940395}]","","","","","","","","","","",""
"34647","","instructions","3","168476","0.0-3.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","[{""page_index"":0,""viewing_time"":34646.80000001192}]","","","","","","","","","","",""
"1417","","image-keyboard-response","4","169894","0.0-4.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower5.png","75","1418.0999999940395","2","1","2","","","","",""
"null","","html-keyboard-response","5","170207","0.0-5.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1091.5999999940395","","image-keyboard-response","6","171300","0.0-6.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower4.png","74","1092.5","1","1","1","","","","",""
"null","","html-keyboard-response","7","171610","0.0-7.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1194.300000011921","","image-keyboard-response","8","172805","0.0-8.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower4.png","74","1195.199999988079","1","1","1","","","","",""
"null","","html-keyboard-response","9","173118","0.0-9.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1206.5999999940395","","image-keyboard-response","10","174325","0.0-10.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower6.png","76","1207.5","3","1","3","","","","",""
"null","","html-keyboard-response","11","174637","0.0-11.0","352YTHGROWZ3OF58FOY57NE55PPH4Z","A1RATFICCKLCQ","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
