"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","chosenAction","reward","responses"
"null","","html-keyboard-response","237","299206","0.0-237.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"631","","image-keyboard-response","238","299840","0.0-238.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower1.png","75","633","75","1",""
"null","","html-keyboard-response","239","300152","0.0-239.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"695","","image-keyboard-response","240","300848","0.0-240.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower5.png","76","696","76","1",""
"null","","html-keyboard-response","241","301164","0.0-241.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"674","","image-keyboard-response","242","301840","0.0-242.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower6.png","74","675","74","1",""
"null","","html-keyboard-response","243","302153","0.0-243.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"716","","image-keyboard-response","244","302871","0.0-244.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower5.png","76","717","76","1",""
"null","","html-keyboard-response","245","303176","0.0-245.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"661","","image-keyboard-response","246","303840","0.0-246.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower6.png","74","663","74","1",""
"null","","html-keyboard-response","247","304159","0.0-247.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"728","","image-keyboard-response","248","304888","0.0-248.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower1.png","75","729","75","1",""
"null","","html-keyboard-response","249","305192","0.0-249.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"789","","image-keyboard-response","250","305984","0.0-250.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower6.png","74","791","74","1",""
"null","","html-keyboard-response","251","306298","0.0-251.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"651","","image-keyboard-response","252","306952","0.0-252.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower5.png","76","654","76","1",""
"null","","html-keyboard-response","253","307257","0.0-253.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"597","","image-keyboard-response","254","307856","0.0-254.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower1.png","75","599","75","0",""
"null","","html-keyboard-response","255","308160","0.0-255.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower1.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"324","","image-keyboard-response","256","308487","0.0-256.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower1.png","75","325","75","1",""
"null","","html-keyboard-response","257","308789","0.0-257.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
